observed_override_rate,model_accuracy,implied_engagement
0.3010000000000001,0.35,0.5612903225806454
0.3010000000000001,0.351,0.5621365496446266
0.3010000000000001,0.352,0.5629853321829166
0.3010000000000001,0.353,0.5638366817887235
0.3010000000000001,0.354,0.5646906101254869
0.3010000000000001,0.355,0.5655471289274108
0.3010000000000001,0.356,0.5664062500000002
0.3010000000000001,0.357,0.5672679852206045
0.3010000000000001,0.358,0.568132346538964
0.3010000000000001,0.359,0.5689993459777635
0.3010000000000001,0.36,0.569868995633188
0.3010000000000001,0.361,0.5707413076754868
0.3010000000000001,0.362,0.5716162943495403
0.3010000000000001,0.363,0.5724939679754334
0.3010000000000001,0.364,0.5733743409490336
0.3010000000000001,0.365,0.5742574257425745
0.3010000000000001,0.366,0.5751432349052448
0.3010000000000001,0.367,0.576031781063783
0.3010000000000001,0.368,0.5769230769230772
0.3010000000000001,0.369,0.5778171352667701
0.3010000000000001,0.37,0.5787139689578715
0.3010000000000001,0.371,0.5796135909393739
0.3010000000000001,0.372,0.5805160142348758
0.3010000000000001,0.373,0.5814212519492095
0.3010000000000001,0.374,0.5823293172690766
0.3010000000000001,0.375,0.5832402234636874
0.3010000000000001,0.376,0.5841539838854076
0.3010000000000001,0.377,0.5850706119704105
0.3010000000000001,0.378,0.5859901212393356
0.3010000000000001,0.379,0.5869125252979539
0.3010000000000001,0.38,0.587837837837838
0.3010000000000001,0.381,0.5887660726370406
0.3010000000000001,0.382,0.5896972435607775
0.3010000000000001,0.383,0.5906313645621184
0.3010000000000001,0.384,0.5915684496826839
0.3010000000000001,0.385,0.5925085130533487
0.3010000000000001,0.386,0.5934515688949525
0.3010000000000001,0.38699999999999996,0.5943976315190165
0.3010000000000001,0.38799999999999996,0.5953467153284674
0.3010000000000001,0.38899999999999996,0.596298834818369
0.3010000000000001,0.38999999999999996,0.5972540045766591
0.3010000000000001,0.39099999999999996,0.598212239284896
0.3010000000000001,0.39199999999999996,0.5991735537190084
0.3010000000000001,0.39299999999999996,0.6001379627500577
0.3010000000000001,0.39399999999999996,0.6011054813450024
0.3010000000000001,0.39499999999999996,0.6020761245674743
0.3010000000000001,0.39599999999999996,0.6030499075785584
0.3010000000000001,0.39699999999999996,0.6040268456375842
0.3010000000000001,0.39799999999999996,0.6050069541029209
0.3010000000000001,0.39899999999999997,0.605990248432784
0.3010000000000001,0.39999999999999997,0.6069767441860466
0.3010000000000001,0.40099999999999997,0.6079664570230611
0.3010000000000001,0.40199999999999997,0.6089594027064864
0.3010000000000001,0.40299999999999997,0.609955597102127
0.3010000000000001,0.40399999999999997,0.6109550561797754
0.3010000000000001,0.40499999999999997,0.6119577960140683
0.3010000000000001,0.40599999999999997,0.6129638327853454
0.3010000000000001,0.407,0.6139731827805226
0.3010000000000001,0.408,0.6149858623939681
0.3010000000000001,0.409,0.616001888128393
0.3010000000000001,0.41,0.6170212765957448
0.3010000000000001,0.411,0.6180440445181153
0.3010000000000001,0.412,0.6190702087286529
0.3010000000000001,0.413,0.6200997861724878
0.3010000000000001,0.414,0.6211327939076632
0.3010000000000001,0.415,0.622169249106079
0.3010000000000001,0.416,0.6232091690544415
0.3010000000000001,0.417,0.6242525711552264
0.3010000000000001,0.418,0.6252994729276475
0.3010000000000001,0.419,0.6263498920086396
0.3010000000000001,0.42,0.6274038461538463
0.3010000000000001,0.421,0.628461353238623
0.3010000000000001,0.422,0.6295224312590451
0.3010000000000001,0.423,0.6305870983329309
0.3010000000000001,0.424,0.6316553727008715
0.3010000000000001,0.425,0.632727272727273
0.3010000000000001,0.426,0.6338028169014086
0.3010000000000001,0.427,0.6348820238384825
0.3010000000000001,0.428,0.635964912280702
0.3010000000000001,0.429,0.637051501098365
0.3010000000000001,0.43,0.6381418092909537
0.3010000000000001,0.431,0.6392358559882443
0.3010000000000001,0.432,0.6403336604514231
0.3010000000000001,0.433,0.64143524207422
0.3010000000000001,0.434,0.6425406203840475
0.3010000000000001,0.435,0.643649815043157
0.3010000000000001,0.436,0.6447628458498026
0.3010000000000001,0.437,0.6458797327394213
0.3010000000000001,0.43799999999999994,0.6470004957858208
